source,target,rank,date,time
landing_page,otNh9bTjXWg,16,02/08/2023,12:04:31
landing_page,oi_tOXh6uVI,17,02/08/2023,12:04:31
landing_page,MAHxo99gDYM,18,02/08/2023,12:04:32
landing_page,u7W6-nXr9xc,1,04/08/2023,09:12:45
landing_page,CrKDwSenkrQ,2,04/08/2023,09:12:47
landing_page,i03sTpUFJ2k,3,04/08/2023,09:12:48
landing_page,Xzv84ZdtlE0,4,04/08/2023,09:12:48
landing_page,klKVm1FALhs,5,04/08/2023,09:12:48
landing_page,#NAME?,6,04/08/2023,09:12:49
landing_page,WB9lKbkMu30,7,04/08/2023,09:12:49
landing_page,HWTSOL1wJrM,8,04/08/2023,09:12:49
landing_page,Hfr9sQBohU8,9,04/08/2023,09:12:49
landing_page,PnuRd69ev6E,10,04/08/2023,09:12:49
landing_page,_TedFmvfCYo,11,04/08/2023,09:12:50
landing_page,YNqpg9uWOYQ,12,04/08/2023,09:12:50
landing_page,jYZ1LX8Bp8k,13,04/08/2023,09:12:50
landing_page,BXhuVOlnYPc,14,04/08/2023,09:12:50
landing_page,v-dq_4F9rxI,15,04/08/2023,09:12:51
landing_page,SWwQYMlQ43w,16,04/08/2023,09:12:51
landing_page,ZSSCABrgjCs,17,04/08/2023,09:12:51
landing_page,Fy59Fq-GkJg,18,04/08/2023,09:12:51
landing_page,EHLjpoHKR9Q,19,04/08/2023,09:12:52
landing_page,32slGhAH3Xc,20,04/08/2023,09:12:52
